cbsa_code,cbsa_name,cbsa_type,centroid_lat,centroid_lon,station_id,station_name,station_distance_km,avg_annual_temp,jan_avg_temp,jul_avg_temp,annual_precipitation,annual_snowfall,n_months_available,has_complete_year,temp_seasonality,snow_binary
10860,"Alice, TX Micro Area",2,27.359741,-98.157214,USC00414810,"KINGSVILLE, TX US",35.83174594,73.70739726,57.6,85.6,29.82,0.1,12,TRUE,28,1
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1,40.789339,-75.398158,USW00014737,"ALLENTOWN INTL AP, PA US",15.9941605,53.82849315,30.8,76.5,50.01,33.3,12,TRUE,45.7,1
10940,"Alma, MI Micro Area",2,43.292326,-84.60469,USC00200146,"ALMA, MI US",11.09180787,47.59232877,22.9,71.4,36.15,,12,TRUE,48.5,0
11020,"Altoona, PA Metro Area",1,40.498683,-78.309597,USC00360132,"ALTOONA 7 SW, PA US",12.8638196,51.27506849,28.3,73,42.19,34.5,12,TRUE,44.7,1
11100,"Amarillo, TX Metro Area",1,35.247999,-101.90867,USC00411267,"BUSHLAND 1 WSW, TX US",16.96628291,56.52493151,35.5,77.7,18.53,,12,TRUE,42.2,0
11180,"Ames, IA Metro Area",1,42.036128,-93.698008,USC00130200,"AMES 8 WSW, IA US",6.519953485,49.9169863,21.1,74.6,37.44,,12,TRUE,53.5,0
11200,"Amherst Town-Northampton, MA Metro Area",1,42.339459,-72.663694,USC00190120,"AMHERST, MA US",11.59301527,48.92027397,25,72.7,47.04,33.7,12,TRUE,47.7,1
11220,"Amsterdam, NY Micro Area",2,42.900891,-74.435357,USC00303322,"GLOVERSVILLE 7NW (PECK LAKE), NY US",23.82705322,42.08739726,16.7,66.8,53.04,,12,TRUE,50.1,0
11360,"Anderson Creek, NC Micro Area",2,35.36866,-78.871665,USC00314987,"LILLINGTON, NC US",6.305697618,60.94958904,41.2,80,48.33,,12,TRUE,38.8,0
11380,"Andrews, TX Micro Area",2,32.312258,-102.640206,USC00418201,"SEMINOLE, TX US",44.60912404,61.86849315,41.6,80.3,16.52,,12,TRUE,38.7,0
11420,"Angola, IN Micro Area",2,41.643467,-85.002405,USC00120200,"ANGOLA, IN US",2.627959587,48.67780822,23.9,71.5,39.56,39.9,12,TRUE,47.6,1
11460,"Ann Arbor, MI Metro Area",1,42.252217,-83.843423,USW00094889,"ANN ARBOR MUNI AP, MI US",8.7838303,48.29369863,24.2,70.9,32.74,,12,TRUE,46.7,0
11540,"Appleton, WI Metro Area",1,44.290603,-88.372326,USC00470265,"APPLETON, WI US",5.430121775,45.95671233,19,72,36.74,57.7,12,TRUE,53,1
11580,"Arcadia, FL Micro Area",2,27.190581,-81.806253,USC00080228,"ARCADIA, FL US",7.369782875,72.62082192,60.3,81.5,52.98,,12,TRUE,21.2,0
11640,"Arecibo, PR Metro Area",1,18.439224,-66.759981,RQC00660426,"ARECIBO OBSY, PR RQ",10.01912939,74.79863014,71.2,77.6,85.21,,12,TRUE,6.4,0
11680,"Arkansas City-Winfield, KS Micro Area",2,37.234507,-96.837247,USC00148964,"WINFIELD 3NE, KS US",10.9618314,56.70739726,33,79.6,40.26,,12,TRUE,46.6,0
11700,"Asheville, NC Metro Area",1,35.61634,-82.570683,USW00013872,"ASHEVILLE, NC US",2.659237548,57.78684932,38.1,75.3,42.83,10.8,12,TRUE,37.2,1
11740,"Ashland, OH Micro Area",2,40.843273,-82.270127,USW00014891,"MANSFIELD LAHM MUNI AP, OH US",20.99365729,51.16849315,26.9,73.2,43.29,49.6,12,TRUE,46.3,1
11860,"Atchison, KS Micro Area",2,39.532544,-95.313397,USC00143810,"HORTON, KS US",23.22768595,53.28767123,26.7,78,39.06,,12,TRUE,51.3,0
11900,"Athens, OH Micro Area",2,39.332755,-82.045885,USC00330279,"ATHENS OU, OH US",4.742140701,52.84684932,29.5,73.6,43.09,,12,TRUE,44.1,0
11940,"Athens, TN Micro Area",2,35.451963,-84.682714,USC00400284,"ATHENS, TN US",9.270234869,59.47863014,38.3,78.3,62.12,2.1,12,TRUE,40,1
11980,"Athens, TX Micro Area",2,32.211633,-95.853418,USC00410404,"ATHENS, TX US",5.808670577,66.04438356,46,83.6,45.36,,12,TRUE,37.6,0
12020,"Athens-Clarke County, GA Metro Area",1,33.943984,-83.213897,USC00099486,"WINTERVILLE, GA US",7.544349166,60.75972603,42.2,78.2,51.04,,12,TRUE,36,0
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1,33.732402,-84.392848,USW00013874,"ATLANTA HARTSFIELD INTL AP, GA US",12.25101057,64.22520548,44.8,81,51.33,2,12,TRUE,36.2,1
12100,"Atlantic City-Hammonton, NJ Metro Area",1,39.286186,-74.738311,USC00282805,"ESTELL MANOR, NJ US",13.32301096,55.33561644,33.6,77.1,53.64,,12,TRUE,43.5,0
12140,"Auburn, IN Micro Area",2,41.39676,-85.002697,USC00123207,"GARRETT 1 S, IN US",11.82951794,48.74657534,24.1,70.7,40.7,35.3,12,TRUE,46.6,1
12180,"Auburn, NY Micro Area",2,43.008546,-76.574587,USC00300321,"AUBURN, NY US",8.766576052,48.03041096,24.6,71.4,47.89,106.3,12,TRUE,46.8,1
12220,"Auburn-Opelika, AL Metro Area",1,32.492206,-85.527127,USC00010425,"AUBURN NO.2, AL US",13.23360876,64.03643836,45.8,80,56.92,,12,TRUE,34.2,0
12380,"Austin, MN Micro Area",2,43.666249,-92.759514,USC00213290,"GRAND MEADOW, MN US",16.261237,43.27150685,13.3,69.8,38.64,55.4,12,TRUE,56.5,1
12460,"Bainbridge, GA Micro Area",2,30.880643,-84.58389,USC00092738,"DONALSONVILLE, GA US",33.59858336,67.5169863,49.5,82.3,54.65,,12,TRUE,32.8,0
12580,"Baltimore-Columbia-Towson, MD Metro Area",1,39.304361,-76.549501,USW00093784,"MD SCI CTR BALTIMORE, MD US",5.713792605,60.05726027,37.5,82.5,45.67,,12,TRUE,45,0
12660,"Baraboo, WI Micro Area",2,43.428001,-89.943318,USC00477052,"REEDSBURG, WI US",11.53090416,46.51506849,18,72.1,42.02,,12,TRUE,54.1,0
12700,"Barnstable Town, MA Metro Area",1,41.706123,-70.164823,USC00199227,"W HARWICH, MA US",6.248560114,51.06739726,32,72.1,47.27,,12,TRUE,40.1,0
12740,"Barre, VT Micro Area",2,44.274969,-72.609444,USC00435273,"MONTPELIER 2, VT US",2.297681085,45.84465753,19.4,71,43.63,,12,TRUE,51.6,0
12780,"Bartlesville, OK Micro Area",2,36.704403,-95.906253,USC00340546,"BARTLESVILLE 3, OK US",11.36561984,58.28575342,34.7,80.8,39.9,,12,TRUE,46.1,0
12860,"Batavia, NY Micro Area",2,43.00091,-78.192778,USC00300443,"BATAVIA, NY US",3.769478335,48.45945205,24.3,71.6,38.98,,12,TRUE,47.3,0
12940,"Baton Rouge, LA Metro Area",1,30.515242,-91.126926,USW00013970,"BATON ROUGE RYAN AP, LA US",3.101893045,69.06630137,52,83.1,63.79,,12,TRUE,31.1,0
12980,"Battle Creek, MI Metro Area",1,42.24299,-85.012385,USW00014815,"BATTLE CREEK KELLOGG AP, MI US",20.90935254,49.81205479,25.1,73.1,33.39,,12,TRUE,48,0
13020,"Bay City, MI Metro Area",1,43.699711,-83.978701,USW00014845,"SAGINAW MBS INTL AP, MI US",20.23195802,48.61534247,24,72.5,32.28,,12,TRUE,48.5,0
13060,"Bay City, TX Micro Area",2,28.77476,-96.001532,USC00410569,"BAY CITY WTR WKS, TX US",22.93428411,69.25452055,52.7,81.8,44.41,,12,TRUE,29.1,0
13100,"Beatrice, NE Micro Area",2,40.255234,-96.683453,USC00252020,"CRETE 4ESE, NE US",42.46822506,51.43041096,24.7,76,33.29,,12,TRUE,51.3,0
13180,"Beaver Dam, WI Micro Area",2,43.429628,-88.701939,USC00473756,"HORICON WWTP, WI US",5.78828973,45.39260274,17.4,70.7,38.13,,12,TRUE,53.3,0
13260,"Bedford, IN Micro Area",2,38.839815,-86.48782,USC00126580,"OOLITIC PURDUE EX FM, IN US",7.697473817,53.2369863,29.3,74.2,50.01,15.2,12,TRUE,44.9,1
13340,"Bellefontaine, OH Micro Area",2,40.387553,-83.766343,USC00330563,"BELLEFONTAINE, OH US",3.850906146,50.93808219,25.8,73.1,44.62,,12,TRUE,47.3,0
13660,"Big Rapids, MI Micro Area",2,43.635295,-85.332751,USC00200779,"BIG RAPIDS WTP, MI US",14.41627955,45.55534247,21.3,69.6,40.3,,12,TRUE,48.3,0
13820,"Birmingham, AL Metro Area",1,33.462372,-86.814338,USW00013876,"BIRMINGHAM AP, AL US",13.15588035,64.51013699,44.7,81.7,56.19,1.2,12,TRUE,37,1
13940,"Blackfoot, ID Micro Area",2,43.216357,-112.399206,USC00100915,"BLACKFOOT FIRE DEPT, ID US",5.158207993,47.63260274,23.6,73.1,13.06,,12,TRUE,49.5,0
14010,"Bloomington, IL Metro Area",1,40.494559,-88.844539,USC00116200,"NORMAL 4NE, IL US",10.76691965,51.26876712,24.6,74.6,40.38,23.7,12,TRUE,50,1
14020,"Bloomington, IN Metro Area",1,39.241736,-86.671754,USC00128290,"SPENCER, IN US",9.715988331,53.23917808,29,75,51.74,,12,TRUE,46,0
14100,"Bloomsburg-Berwick, PA Micro Area",2,41.045517,-76.40426,USC00360457,"BEAR GAP, PA US",26.20645932,50.96082192,27.7,73,50.06,36.6,12,TRUE,45.3,1
14220,"Bogalusa, LA Micro Area",2,30.852144,-90.046253,USC00227128,"POPLARVILLE EXP STN, MS US",47.8405224,66.48109589,49,81,64.75,,12,TRUE,32,0
14260,"Boise City, ID Metro Area",1,43.006648,-116.141909,USC00108928,"SWAN FALLS PH, ID US",32.5924322,55.60767123,33.7,80.9,9.65,,12,TRUE,47.2,0
14300,"Bonham, TX Micro Area",2,33.591161,-96.104988,USC00410923,"BONHAM 3NNE, TX US",7.866339924,64.03890411,42.6,84,47.35,,12,TRUE,41.4,0
14420,"Borger, TX Micro Area",2,35.837047,-101.362746,USW00003024,"BORGER HUTCHINSON CO AP, TX US",16.06077462,61.36054795,40.3,83.2,18.12,,12,TRUE,42.9,0
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1,42.517606,-71.021993,USC00194744,"MIDDLETON, MA US",8.421387459,48.90273973,26.4,71.7,49.49,47.3,12,TRUE,45.3,1
14500,"Boulder, CO Metro Area",1,40.094966,-105.397702,USW00094075,"BOULDER 14 W, CO US",13.86755372,35.62630137,20.2,55.3,33.45,,12,TRUE,35.1,0
14540,"Bowling Green, KY Metro Area",1,37.046804,-86.397398,USW00093808,"BOWLING GREEN WARREN CO AP, KY US",9.427988567,59.55424658,37.2,79.7,51.9,10.2,12,TRUE,42.5,1
14710,"Brattleboro, VT Micro Area",2,42.995304,-72.721877,USC00278856,"WALPOLE 2S NEPP, NH US",23.88569714,46.74657534,22.9,70.5,48.23,,12,TRUE,47.6,0
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",1,47.639595,-122.649634,USC00450872,"BREMERTON, WA US",8.244832986,52.27013699,41,66,54.63,,12,TRUE,25,0
14780,"Brenham, TX Micro Area",2,30.215075,-96.410272,USC00411048,"BRENHAM, TX US",6.338791823,68.4260274,50.3,83.7,47.15,,12,TRUE,33.4,0
14820,"Brevard, NC Micro Area",2,35.210103,-82.816666,USC00311055,"BREVARD, NC US",7.619525994,55.60246575,36.4,72.8,74.66,,12,TRUE,36.4,0
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",1,41.252442,-73.393266,USW00054734,"DANBURY MUNI AP, CT US",15.19502192,50.41068493,28,73,47.28,,12,TRUE,45,0
14940,"Brigham City, UT-ID Micro Area",2,41.622623,-113.060252,USC00427408,"ROSETTE, UT US",36.51647264,47.23616438,24.5,73.3,12.44,,12,TRUE,48.8,0
15020,"Brookhaven, MS Micro Area",2,31.535216,-90.453566,USC00221094,"BROOKHAVEN CITY, MS US",1.138750723,65.09945205,46.9,80.6,62.39,,12,TRUE,33.7,0
15060,"Brookings, OR Micro Area",2,42.466439,-124.210929,USC00353356,"GOLD BEACH RS, OR US",18.84567342,54.19945205,48.8,61.1,75.12,,12,TRUE,12.3,0
15180,"Brownsville-Harlingen, TX Metro Area",1,26.102923,-97.478958,USW00012957,"PORT ISABEL CAMERON AP, TX US",15.01931399,75.24164384,60.8,85.3,23.17,,12,TRUE,24.5,0
15340,"Bucyrus, OH Micro Area",2,40.848524,-82.924783,USC00331072,"BUCYRUS, OH US",5.507017435,52.7139726,28.3,74.8,40.28,,12,TRUE,46.5,0
15380,"Buffalo-Cheektowaga, NY Metro Area",1,43.044371,-78.777335,USC00306047,"N TONAWANDA, NY US",7.00198868,48.7660274,25.7,71.8,41.17,74.2,12,TRUE,46.1,1
15460,"Burlington, IA-IL Micro Area",2,40.863823,-91.069976,USC00113455,"GLADSTONE DAM 18, IL US",4.424702779,52.19890411,24.6,76.6,40.41,,12,TRUE,52,0
15500,"Burlington, NC Metro Area",1,36.043954,-79.400573,USC00313919,"HAW RVR 1E, NC US",3.587952629,60.07753425,39.1,79.7,47.1,,12,TRUE,40.6,0
15540,"Burlington-South Burlington, VT Metro Area",1,44.689115,-73.041175,USC00437607,"S HERO, VT US",21.85917235,47.52520548,21.3,72.8,36.54,48.8,12,TRUE,51.5,1
15660,"Calhoun, GA Micro Area",2,34.509667,-84.873862,USC00091863,"CHATSWORTH 2, GA US",29.41099553,60.53205479,40.6,78.5,59.05,,12,TRUE,37.9,0
15700,"Cambridge, MD Micro Area",2,38.429196,-76.047433,USC00187806,"ROYAL OAK 2 SSW, MD US",34.16767,58.71780822,37.3,79.9,49.16,15,12,TRUE,42.6,1
15740,"Cambridge, OH Micro Area",2,40.056665,-81.497875,USC00331197,"CAMBRIDGE, OH US",8.593388045,53.19616438,29.6,74.1,42.71,18.6,12,TRUE,44.5,1
15860,"Cañon City, CO Micro Area",2,38.45517,-105.424958,USC00051294,"CANON CITY, CO US",17.367081,52.36958904,33.8,74.4,13.39,39.4,12,TRUE,40.6,1
15900,"Canton, IL Micro Area",2,40.46524,-90.202269,USC00116970,"PRAIRIE CITY 2S, IL US",26.20833115,51.9709589,24.8,75.2,39.05,21.9,12,TRUE,50.4,1
15940,"Canton-Massillon, OH Metro Area",1,40.711051,-81.261468,USW00014895,"AKRON CANTON RGNL AP, OH US",27.05587489,52.27808219,28.4,74.5,43.13,47.9,12,TRUE,46.1,1
15980,"Cape Coral-Fort Myers, FL Metro Area",1,26.563273,-81.984182,USW00012835,"FT MYERS PAGE FLD AP, FL US",12.44713792,75.84849315,64.9,83.3,55.55,,12,TRUE,18.4,0
16020,"Cape Girardeau, MO-IL Metro Area",1,37.325936,-89.762639,USC00234226,"JACKSON, MO US",10.19404109,57.19589041,32.7,79.7,54.02,,12,TRUE,47,0
16060,"Carbondale, IL Micro Area",2,37.786096,-89.381212,USW00093810,"CARBONDALE SOUTHERN IL AP, IL US",11.57935735,56.88821918,33.6,78.4,46.43,,12,TRUE,44.8,0
16180,"Carson City, NV Metro Area",1,39.15306,-119.747368,USC00261485,"CARSON CITY, NV US",3.554342618,52.36164384,34.9,73.3,11.3,,12,TRUE,38.4,0
16300,"Cedar Rapids, IA Metro Area",1,42.086289,-91.631095,USC00131319,"CEDAR RAPIDS #1, IA US",5.398944131,50.17452055,21.5,74.9,40.57,35.1,12,TRUE,53.4,1
16340,"Cedartown, GA Micro Area",2,33.996015,-85.188338,USC00091732,"CEDARTOWN, GA US",8.15627121,62.79726027,43,80.5,52.68,,12,TRUE,37.5,0
16380,"Celina, OH Micro Area",2,40.535333,-84.632059,USC00331390,"CELINA 3 NE, OH US",8.863928318,51.76931507,26.7,73.7,40.84,,12,TRUE,47,0
16460,"Centralia, IL Micro Area",2,38.648236,-88.920362,USC00117636,"SALEM, IL US",2.378949832,55.12356164,29.9,77.5,48.18,,12,TRUE,47.6,0
16500,"Centralia, WA Micro Area",2,46.580071,-122.377444,USC00455110,"MAYFIELD PWR PLT, WA US",18.57062032,51.72383562,38.9,66.7,61.62,6.6,12,TRUE,27.8,1
16540,"Chambersburg, PA Metro Area",1,39.926772,-77.724521,USC00361354,"CHAMBERSBURG 1 ESE, PA US",7.319641019,53.56630137,30.8,75.4,43.41,25.4,12,TRUE,44.6,1
16580,"Champaign-Urbana, IL Metro Area",1,40.234489,-88.298623,USW00014806,"RANTOUL, IL US",14.69409474,52.68273973,25.6,75.9,40.71,,12,TRUE,50.3,0
16620,"Charleston, WV Metro Area",1,38.283213,-81.492557,USW00013866,"CHARLESTON YEAGER AP, WV US",13.66147988,56.68794521,35,76,46.95,25.9,12,TRUE,41,1
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",1,35.166342,-80.797285,USW00013881,"CHARLOTTE DOUGLAS AP, NC US",15.70679523,62.02,42.1,80.4,44.87,3.2,12,TRUE,38.3,1
16860,"Chattanooga, TN-GA Metro Area",1,35.049361,-85.361158,USC00405431,"LOOKOUT MTN-POINT PARK, TN US",4.66661655,57.98794521,37.1,75.6,60.55,,12,TRUE,38.5,0
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",1,41.75878,-87.841887,USC00111577,"CHICAGO MIDWAY AP 3SW, IL US",5.855807908,52.60328767,26.4,77,45.01,40.8,12,TRUE,50.6,1
17060,"Chillicothe, OH Micro Area",2,39.323895,-83.059538,USC00338830,"WAVERLY, OH US",24.60907845,54.60191781,31.3,75.6,45.76,,12,TRUE,44.3,0
17140,"Cincinnati, OH-KY-IN Metro Area",1,39.078585,-84.463514,USW00093812,"CINCINNATI LUNKEN AP, OH US",4.730509799,55.27369863,32.5,76,43.23,,12,TRUE,43.5,0
17220,"Clarksburg, WV Micro Area",2,39.28835,-80.43153,USC00461677,"CLARKSBURG 1, WV US",7.182990119,53.46630137,30.7,74.4,49.65,,12,TRUE,43.7,0
17260,"Clarksdale, MS Micro Area",2,34.230316,-90.60401,USC00221707,"CLARKSDALE, MS US",6.509632525,62.62876712,41.2,81,60.16,,12,TRUE,39.8,0
17410,"Cleveland, OH Metro Area",1,41.667548,-81.43052,USC00336389,"PAINESVILLE 4 NW, OH US",14.69192749,53.38410959,30.8,75.1,44.72,,12,TRUE,44.3,0
17420,"Cleveland, TN Metro Area",1,35.138117,-84.655079,USC00401808,"CLEVELAND FLTR PLT, TN US",15.34503992,59.99890411,39.3,78.4,58.5,1.9,12,TRUE,39.1,1
17500,"Clewiston, FL Micro Area",2,26.739191,-81.184001,USC00082298,"DEVILS GARDEN, FL US",12.54131288,74.67150685,63.3,83.2,49.83,,12,TRUE,19.9,0
17540,"Clinton, IA Micro Area",2,41.898073,-90.534243,USC00135131,"MAQUOKETA, IA US",22.64918698,48.13890411,19.5,73,39.39,33,12,TRUE,53.5,1
17620,"Coamo, PR Micro Area",2,18.028709,-66.369763,RQC00660158,"AIBONITO 1 S, PR RQ",15.70530437,71.93315068,67.9,74.9,63.76,,12,TRUE,7,0
17640,"Coco, PR Micro Area",2,17.971485,-66.262252,RQC00660158,"AIBONITO 1 S, PR RQ",17.41603522,71.93315068,67.9,74.9,63.76,,12,TRUE,7,0
17660,"Coeur d'Alene, ID Metro Area",1,47.675957,-116.695919,USC00101956,"COEUR D'ALENE, ID US",7.576907873,48.97178082,31.4,70.9,26.45,,12,TRUE,39.5,0
17860,"Columbia, MO Metro Area",1,38.986486,-92.585189,USC00230824,"BOONVILLE, MO US",13.59510372,54.9909589,29.4,78.2,42.59,,12,TRUE,48.8,0
17900,"Columbia, SC Metro Area",1,34.077585,-81.037845,USC00381944,"COLUMBIA UNIV OF SC, SC US",9.630016696,67.11479452,48.2,84.1,48.76,,12,TRUE,35.9,0
17980,"Columbus, GA-AL Metro Area",1,32.419377,-84.843709,USC00092159,"COLUMBUS #2, GA US",14.08622947,64.16082192,45.6,80.9,53.13,,12,TRUE,35.3,0
18020,"Columbus, IN Metro Area",1,39.205843,-85.897999,USC00121747,"COLUMBUS, IN US",4.909031442,54.42027397,30.5,75.5,49.69,14,12,TRUE,45,1
18060,"Columbus, MS Micro Area",2,33.251133,-88.506349,USC00225361,"MACON 3N, MS US",11.80384081,63.04575342,43.1,80.6,58.95,,12,TRUE,37.5,0
18140,"Columbus, OH Metro Area",1,39.968562,-82.835911,USW00014821,"COLUMBUS PORT COLUMBUS INTL AP, OH US",4.59106579,54.03315068,29.9,75.7,43.46,28.3,12,TRUE,45.8,1
18180,"Concord, NH Micro Area",2,43.299579,-71.680041,USC00277833,"SALISBURY, NH US",7.611954886,46.2739726,22.2,70.2,49.28,,12,TRUE,48,0
18220,"Connersville, IN Micro Area",2,39.639654,-85.185034,USC00127646,"RUSHVILLE, IN US",23.31276402,52.20027397,27.4,73.7,47.16,,12,TRUE,46.3,0
18340,"Corbin, KY Micro Area",2,36.985916,-83.966066,USC00150381,"BARBOURVILLE, KY US",13.71848805,56.44767123,34.5,75.9,55.9,,12,TRUE,41.4,0
18420,"Corinth, MS Micro Area",2,34.886569,-88.581109,USC00221962,"CORINTH 7 SW, MS US",3.445647522,60.59589041,39,79.7,57.71,,12,TRUE,40.7,0
18460,"Cornelia, GA Micro Area",2,34.634392,-83.525875,USC00091965,"CLARKESVILLE, GA US",2.583064714,59.12986301,39.7,77.1,62.15,,12,TRUE,37.4,0
18500,"Corning, NY Micro Area",2,42.266725,-77.385525,USC00303983,"HORNELL ALMOND DAM, NY US",27.76850588,45.63041096,22,68.5,39.91,,12,TRUE,46.5,0
18580,"Corpus Christi, TX Metro Area",1,27.894817,-97.401668,USW00012924,"CORPUS CHRISTI, TX US",16.34796035,73.23972603,57.5,84.5,30.18,0.1,12,TRUE,27,1
18620,"Corsicana, TX Micro Area",2,32.048448,-96.476909,USW00053912,"CORSICANA CAMPBELL FLD, TX US",7.601783576,67.5339726,48,84.8,39.97,,12,TRUE,36.8,0
18660,"Cortland, NY Micro Area",2,42.594039,-76.07624,USW00064758,"ITHACA 13 E, NY US",22.07242614,45.83534247,22.4,68,43.07,,12,TRUE,45.6,0
18700,"Corvallis, OR Metro Area",1,44.493882,-123.424664,USC00351877,"CORVALLIS WATER BUREAU, OR US",3.029336344,50.79561644,37.8,65.3,69.77,4.8,12,TRUE,27.5,1
18740,"Coshocton, OH Micro Area",2,40.29671,-81.930109,USC00331890,"COSHOCTON WPC PLT, OH US",8.025606351,51.87863014,28.2,73.2,45.1,,12,TRUE,45,0
18820,"Crawfordsville, IN Micro Area",2,40.040296,-86.892715,USC00121873,"CRAWFORDSVILLE 6 SE, IN US",8.845591802,50.7860274,25.4,72.4,46.39,24.4,12,TRUE,47,1
18860,"Crescent City, CA Micro Area",2,41.749903,-123.980998,USW00024286,"CRESCENT CITY MCNAMARA AP, CA US",21.47516238,52.79150685,48.7,57.4,56.8,,12,TRUE,8.7,0
18980,"Cullman, AL Micro Area",2,34.131923,-86.869267,USC00017157,"SAINT BERNARD, AL US",6.928144325,61.94438356,41.9,79.4,57.68,,12,TRUE,37.5,0
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",1,32.849171,-96.970489,USW00003927,"DALLAS FT WORTH AP, TX US",7.048341875,67.29150685,46.8,86.2,37.09,2.3,12,TRUE,39.4,1
19140,"Dalton, GA Metro Area",1,34.796956,-84.856279,USC00091863,"CHATSWORTH 2, GA US",9.444613487,60.53205479,40.6,78.5,59.05,,12,TRUE,37.9,0
19180,"Danville, IL Micro Area",2,40.186754,-87.726778,USC00112140,"DANVILLE, IL US",8.544117362,53.3739726,27.8,75,45.17,,12,TRUE,47.2,0
19300,"Daphne-Fairhope-Foley, AL Metro Area",1,30.659218,-87.746067,USC00016988,"ROBERTSDALE, AL US",11.27333082,66.87041096,49.9,80.9,68.33,,12,TRUE,31,0
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",1,41.39168,-90.460076,USW00014923,"MOLINE QUAD CITY INTL AP, IL US",9.736438274,51.62328767,23.9,75.9,40.92,39.5,12,TRUE,52,1
19430,"Dayton-Kettering-Beavercreek, OH Metro Area",1,39.829746,-84.140992,USC00332067,"DAYTON MCD, OH US",8.53906606,53.68575342,28.6,76.3,42.68,,12,TRUE,47.7,0
19460,"Decatur, AL Metro Area",1,34.489361,-87.097147,USC00012209,"DECATUR 4SE, AL US",17.76444179,61.91589041,41.8,79.7,58.81,,12,TRUE,37.9,0
19540,"Decatur, IN Micro Area",2,40.74573,-84.936134,USC00120676,"BERNE WWTP, IN US",8.625346194,51.18410959,25.8,74.1,43.49,27,12,TRUE,48.3,1
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",1,29.1789,-81.189023,USW00012834,"DAYTONA BEACH INTL AP, FL US",13.66865832,72.14547945,59,82.1,47.99,,12,TRUE,23.1,0
19740,"Denver-Aurora-Centennial, CO Metro Area",1,39.434789,-104.901073,USC00051401,"CASTLE ROCK, CO US",2.720172,49.77972603,31.5,71.6,16.42,58.4,12,TRUE,40.1,1
19760,"DeRidder, LA Micro Area",2,30.645018,-93.340253,USC00166434,"MOSS BLUFF 2 NNW, LA US",36.06109099,68.27561644,51.1,82.4,68.1,,12,TRUE,31.3,0
19780,"Des Moines-West Des Moines, IA Metro Area",1,41.57705,-93.759712,USW00014933,"DES MOINES INTL AP, IA US",10.08548969,51.26767123,22.8,76.7,39.19,38.9,12,TRUE,53.9,1
19820,"Detroit-Warren-Dearborn, MI Metro Area",1,42.721848,-83.200846,USC00206658,"PONTIAC WWTP, MI US",10.25204873,49.5860274,24.8,73.2,36.28,,12,TRUE,48.4,0
19940,"Dixon, IL Micro Area",2,41.747447,-89.299362,USC00112348,"DIXON 1W, IL US",20.25446416,49.64986301,21.8,73.8,42.54,,12,TRUE,52,0
